,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
967,trois couleurs: blanc,"comedy, drama, romance",wife divorc polish immigr plot get even,krzysztof kieslowski,zbigniew zamachowski,julie delpy,janusz gajos,jerzy stuhr,"trois couleurs: blanc comedy, drama, romance wife divorc polish immigr plot get even krzysztof kieslowski zbigniew zamachowski julie delpy janusz gajos jerzy stuhr"
968,falling down,"action, crime, drama",ordinari man frustrat variou flaw see societi begin psychot violent lash,joel schumacher,michael douglas,robert duvall,barbara hershey,rachel ticotin,"falling down action, crime, drama ordinari man frustrat variou flaw see societi begin psychot violent lash joel schumacher michael douglas robert duvall barbara hershey rachel ticotin"
969,dazed and confused,comedy,adventur high school junior high student last day school may,richard linklater,jason london,wiley wiggins,matthew mcconaughey,rory cochrane,dazed and confused comedy adventur high school junior high student last day school may richard linklater jason london wiley wiggins matthew mcconaughey rory cochrane
970,my cousin vinny,"comedy, crime",two new yorker accus murder rural alabama way back colleg call help one cousin loudmouth lawyer trial experi,jonathan lynn,joe pesci,marisa tomei,ralph macchio,mitchell whitfield,"my cousin vinny comedy, crime two new yorker accus murder rural alabama way back colleg call help one cousin loudmouth lawyer trial experi jonathan lynn joe pesci marisa tomei ralph macchio mitchell whitfield"
971,omohide poro poro,"animation, drama, romance",twentysevenyearold offic worker travel countrysid reminisc childhood tokyo,isao takahata,miki imai,toshirô yanagiba,yoko honna,mayumi izuka,"omohide poro poro animation, drama, romance twentysevenyearold offic worker travel countrysid reminisc childhood tokyo isao takahata miki imai toshirô yanagiba yoko honna mayumi izuka"
972,delicatessen,"comedy, crime",postapocalypt surrealist black comedi landlord apart build occasion prepar delicaci odd tenant,marc caro,jean-pierre jeunet,marie-laure dougnac,dominique pinon,pascal benezech,"delicatessen comedy, crime postapocalypt surrealist black comedi landlord apart build occasion prepar delicaci odd tenant marc caro jean-pierre jeunet marie-laure dougnac dominique pinon pascal benezech"
973,home alone,"comedy, family",eightyearold troublemak must protect hous pair burglar accident left home alon famili christma vacat,chris columbus,macaulay culkin,joe pesci,daniel stern,john heard,"home alone comedy, family eightyearold troublemak must protect hous pair burglar accident left home alon famili christma vacat chris columbus macaulay culkin joe pesci daniel stern john heard"
974,the godfather: part iii,"crime, drama",follow michael corleon seek free famili crime find suitabl successor empir,francis ford coppola,al pacino,diane keaton,andy garcia,talia shire,"the godfather: part iii crime, drama follow michael corleon seek free famili crime find suitabl successor empir francis ford coppola al pacino diane keaton andy garcia talia shire"
975,when harry met sally...,"comedy, drama, romance",harri salli known year good friend fear sex would ruin friendship,rob reiner,billy crystal,meg ryan,carrie fisher,bruno kirby,"when harry met sally... comedy, drama, romance harri salli known year good friend fear sex would ruin friendship rob reiner billy crystal meg ryan carrie fisher bruno kirby"
976,the little mermaid,"animation, family, fantasy",mermaid princess make faustian bargain attempt becom human win princ love,ron clements,john musker,jodi benson,samuel e. wright,rene auberjonois,"the little mermaid animation, family, fantasy mermaid princess make faustian bargain attempt becom human win princ love ron clements john musker jodi benson samuel e. wright rene auberjonois"
977,the naked gun: from the files of police squad!,"comedy, crime",incompet polic detect frank drebin must foil attempt assassin queen elizabeth ii,david zucker,leslie nielsen,priscilla presley,o.j. simpson,ricardo montalban,"the naked gun: from the files of police squad! comedy, crime incompet polic detect frank drebin must foil attempt assassin queen elizabeth ii david zucker leslie nielsen priscilla presley o.j. simpson ricardo montalban"
978,"planes, trains & automobiles","comedy, drama",man must struggl travel home thanksgiv lovabl oaf shower curtain ring salesman companion,john hughes,steve martin,john candy,laila robins,michael mckean,"planes, trains & automobiles comedy, drama man must struggl travel home thanksgiv lovabl oaf shower curtain ring salesman companion john hughes steve martin john candy laila robins michael mckean"
979,lethal weapon,"action, crime, thriller",two newli pair cop complet opposit must put asid differ order catch gang drug smuggler,richard donner,mel gibson,danny glover,gary busey,mitchell ryan,"lethal weapon action, crime, thriller two newli pair cop complet opposit must put asid differ order catch gang drug smuggler richard donner mel gibson danny glover gary busey mitchell ryan"
980,blood simple,"crime, drama, thriller",owner seedi smalltown texa bar discov one employe affair wife chaotic chain misunderstand lie mischief ensu devis plot murder,joel coen,ethan coen,john getz,frances mcdormand,dan hedaya,"blood simple crime, drama, thriller owner seedi smalltown texa bar discov one employe affair wife chaotic chain misunderstand lie mischief ensu devis plot murder joel coen ethan coen john getz frances mcdormand dan hedaya"
981,on golden pond,drama,norman curmudgeon estrang relationship daughter chelsea golden pond wife nevertheless agre care billi son chelsea new boyfriend unexpect relationship bloom,mark rydell,katharine hepburn,henry fonda,jane fonda,doug mckeon,on golden pond drama norman curmudgeon estrang relationship daughter chelsea golden pond wife nevertheless agre care billi son chelsea new boyfriend unexpect relationship bloom mark rydell katharine hepburn henry fonda jane fonda doug mckeon
982,mad max 2,"action, adventure, sci-fi",postapocalypt australian wasteland cynic drifter agre help small gasolinerich commun escap hord bandit,george miller,mel gibson,bruce spence,michael preston,max phipps,"mad max 2 action, adventure, sci-fi postapocalypt australian wasteland cynic drifter agre help small gasolinerich commun escap hord bandit george miller mel gibson bruce spence michael preston max phipps"
983,the warriors,"action, crime, thriller",near futur charismat leader summon street gang new york citi bid take kill warrior fals blame must fight way home everi gang hunt,walter hill,michael beck,james remar,dorsey wright,brian tyler,"the warriors action, crime, thriller near futur charismat leader summon street gang new york citi bid take kill warrior fals blame must fight way home everi gang hunt walter hill michael beck james remar dorsey wright brian tyler"
984,the muppet movie,"adventure, comedy, family",kermit newfound friend trek across america find success hollywood frog leg merchant kermit,james frawley,jim henson,frank oz,jerry nelson,richard hunt,"the muppet movie adventure, comedy, family kermit newfound friend trek across america find success hollywood frog leg merchant kermit james frawley jim henson frank oz jerry nelson richard hunt"
985,escape from alcatraz,"action, biography, crime",alcatraz secur prison time believ one ever escap three dare men make possibl success attempt escap one infam prison world,don siegel,clint eastwood,patrick mcgoohan,roberts blossom,jack thibeau,"escape from alcatraz action, biography, crime alcatraz secur prison time believ one ever escap three dare men make possibl success attempt escap one infam prison world don siegel clint eastwood patrick mcgoohan roberts blossom jack thibeau"
986,watership down,"animation, adventure, drama",hope escap destruct human develop save commun coloni rabbit led hazel fiver seek safe place set new warren,martin rosen,john hubley,john hurt,richard briers,ralph richardson,"watership down animation, adventure, drama hope escap destruct human develop save commun coloni rabbit led hazel fiver seek safe place set new warren martin rosen john hubley john hurt richard briers ralph richardson"
987,midnight express,"biography, crime, drama",billi hay american colleg student caught smuggl drug turkey thrown prison,alan parker,brad davis,irene miracle,bo hopkins,paolo bonacelli,"midnight express biography, crime, drama billi hay american colleg student caught smuggl drug turkey thrown prison alan parker brad davis irene miracle bo hopkins paolo bonacelli"
988,close encounters of the third kind,"drama, sci-fi",roy neari electr lineman watch quiet ordinari daili life turn upsid close encount ufo,steven spielberg,richard dreyfuss,françois truffaut,teri garr,melinda dillon,"close encounters of the third kind drama, sci-fi roy neari electr lineman watch quiet ordinari daili life turn upsid close encount ufo steven spielberg richard dreyfuss françois truffaut teri garr melinda dillon"
989,the long goodbye,"comedy, crime, drama",privat investig philip marlow help friend jam get implic wife murder,robert altman,elliott gould,nina van pallandt,sterling hayden,mark rydell,"the long goodbye comedy, crime, drama privat investig philip marlow help friend jam get implic wife murder robert altman elliott gould nina van pallandt sterling hayden mark rydell"
